,table kind,CmR,nras simple forecast,nras simple backcast,nras cycling forecast,nras cycling backcast,insd simple forecast,insd simple backcast,insd cycling forecast,insd cycling backcast,kuroda simple forecast,kuroda simple backcast,kuroda cycling forecast,kuroda cycling backcast,mtt0 linear backcast,mtt0 lasso backcast,mtt0 ridge backcast,mtt2 linear backcast,mtt2 lasso backcast,mtt2 ridge backcast,mtt0 linear forecast,mtt0 lasso forecast,mtt0 ridge forecast,mtt2 linear forecast,mtt2 lasso forecast,mtt2 ridge forecast
0,use basic I+II,1,0,0,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,use basic I+II,2,0,0,2,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,use basic I+II,3,0,0,2,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,use basic I+II,4,1,0,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,use basic I+II,5,2,2,0,0,1,1,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
5,use basic I+II,6,0,0,0,0,1,2,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
6,use basic I+II,7,1,5,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
7,use basic I+II,8,1,1,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
8,use basic I+II,9,5,3,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,use basic I+II,10,1,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,use basic I+II,11,0,0,0,0,1,1,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,use basic I+II,12,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,use basic I+II,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,use basic I+II,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,use basic I+II,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,use basic I+II,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
